Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3",LED_WS2812C-2020,3,WS2812C,C965556
J1,PinSocket_2x13_P2.54mm_Vertical,1,RASPI,
J2,PinSocket_1x02_P2.54mm_Vertical,1,PI_RST,
J3,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,I2C,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PWR,
J5,C18167_BOOMELE_Audiojack_withoutTip,1,WS28A,
J6,PinHeader_2x06_P2.54mm_Vertical,1,GPIO,
"Q1, Q10, Q11, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,11,BSS138,
"R1, R10, R11, R12, R13, R14, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5, R6, R7, R8, R9",0603,24,10k,
"R15, R16",0603,2,220Ω,
SW1,SW_PUSH_6mm_H4.3mm,1,RST,
SW2,SW_PUSH_6mm_H4.3mm,1,MA,
SW3,SW_PUSH_6mm_H4.3mm,1,LAT_UP,
SW4,SW_PUSH_6mm_H4.3mm,1,LAT_DOWN,
U1,SSD1306_OLED-0.96-128x64_I2C,1,OLED_0.96-I2C,
